title,rating,numOfRatings,FirstMovieRecommendation,SecondMovieRecommendation,ThirdMovieRecommendation,FourthMovieRecommendation
New York Cop (1996),2.5,2,Mars Attacks! (1996),Beavis and Butt-head Do America (1996),Philadelphia (1993),Raising Arizona (1987)
"Newton Boys, The (1998)",3,4,Kiss the Girls (1997),Star Trek: The Wrath of Khan (1982),"Empire Strikes Back, The (1980)","Fish Called Wanda, A (1988)"
"Next Karate Kid, The (1994)",2.444444444,9,True Romance (1993),Little Women (1994),Brazil (1985),Butch Cassidy and the Sundance Kid (1969)
"Next Step, The (1995)",3,1,-,-,-,-
"Niagara, Niagara (1997)",2,1,-,-,-,-
Nick of Time (1995),3.045454545,44,Bound (1996),Like Water For Chocolate (Como agua para chocolate) (1992),Rosewood (1997),Lawrence of Arabia (1962)
Nico Icon (1995),4,2,"Professional, The (1994)","Abyss, The (1989)","Shining, The (1980)","Rock, The (1996)"
Night Falls on Manhattan (1997),3.375,32,"Good, The Bad and The Ugly, The (1966)",Glory (1989),Star Trek: Generations (1994),Star Trek: The Wrath of Khan (1982)
Night Flier (1997),3.714285714,7,Alien: Resurrection (1997),Jungle2Jungle (1997),Event Horizon (1997),Starship Troopers (1997)
Night of the Living Dead (1968),3.421875,64,Gattaca (1997),Seven Years in Tibet (1997),"River Wild, The (1994)","Full Monty, The (1997)"
Night on Earth (1991),3.833333333,36,Rosewood (1997),Ben-Hur (1959),Fly Away Home (1996),Ulee's Gold (1997)
"Nightmare Before Christmas, The (1993)",3.587412587,143,"Cable Guy, The (1996)",L.A. Confidential (1997),"Sex, Lies, and Videotape (1989)",Lost Highway (1997)
"Nightmare on Elm Street, A (1984)",3.171171171,111,Event Horizon (1997),G.I. Jane (1997),Young Guns (1988),Alien: Resurrection (1997)
Nightwatch (1997),3,3,Dante's Peak (1997),Ulee's Gold (1997),Starship Troopers (1997),Face/Off (1997)
Nikita (La Femme Nikita) (1990),4.007874016,127,Courage Under Fire (1996),Donnie Brasco (1997),Kiss the Girls (1997),Kolya (1996)
Nil By Mouth (1997),2,4,"Remains of the Day, The (1993)",Natural Born Killers (1994),One Flew Over the Cuckoo's Nest (1975),Patton (1970)
Nina Takes a Lover (1994),2.833333333,6,William Shakespeare's Romeo and Juliet (1996),Searching for Bobby Fischer (1993),"Room with a View, A (1986)","Remains of the Day, The (1993)"
Nine Months (1995),2.931034483,58,Lawrence of Arabia (1962),"Sex, Lies, and Videotape (1989)",Good Will Hunting (1997),Star Trek: Generations (1994)
Ninotchka (1939),3.769230769,26,"Game, The (1997)",Crash (1996),"Frighteners, The (1996)",Bram Stoker's Dracula (1992)
Nixon (1995),3.122222222,90,Outbreak (1995),Face/Off (1997),Batman Forever (1995),Father of the Bride Part II (1995)
No Escape (1994),2.4,5,"Nightmare Before Christmas, The (1993)",Executive Decision (1996),GoodFellas (1990),Sleepers (1996)
Nobody Loves Me (Keiner liebt mich) (1994),1,1,-,-,-,-
Nobody's Fool (1994),3.608695652,46,Amistad (1997),Happy Gilmore (1996),Real Genius (1985),"Philadelphia Story, The (1940)"
Normal Life (1996),3,1,-,-,-,-
North (1994),2.714285714,7,Mystery Science Theater 3000: The Movie (1996),Monty Python's Life of Brian (1979),Star Trek: The Motion Picture (1979),Everyone Says I Love You (1996)
North by Northwest (1959),4.284916201,179,To Kill a Mockingbird (1962),Crash (1996),Rear Window (1954),Nikita (La Femme Nikita) (1990)
"Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)",3.555555556,54,Crash (1996),One Fine Day (1996),Conan the Barbarian (1981),G.I. Jane (1997)
Nosferatu a Venezia (1986),2.333333333,3,Strictly Ballroom (1992),"Manchurian Candidate, The (1962)","Lion King, The (1994)",Benny & Joon (1993)
Nothing Personal (1995),2,1,-,-,-,-
Nothing to Lose (1994),3.285714286,7,Wag the Dog (1997),"Birds, The (1963)",Die Hard (1988),To Kill a Mockingbird (1962)
Notorious (1946),4.115384615,52,Cold Comfort Farm (1995),Scream 2 (1997),"Game, The (1997)",Sleepers (1996)
Now and Then (1995),3.458333333,24,Cold Comfort Farm (1995),Fly Away Home (1996),Spawn (1997),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)
Nowhere (1997),2.333333333,3,Welcome to the Dollhouse (1995),"Usual Suspects, The (1995)",Twelve Monkeys (1995),Dead Man Walking (1995)
"Nutty Professor, The (1996)",2.914110429,163,Scream 2 (1997),Cinderella (1950),GoldenEye (1995),"Craft, The (1996)"
Nénette et Boni (1996),3.5,6,Absolute Power (1997),Ulee's Gold (1997),"Truth About Cats & Dogs, The (1996)",Toy Story (1995)
"Object of My Affection, The (1998)",4,1,-,-,-,-
Of Human Bondage (1934),3.2,5,Get Shorty (1995),"Hudsucker Proxy, The (1994)","Sting, The (1973)",Liar Liar (1997)
Of Love and Shadows (1994),3.166666667,6,"Full Monty, The (1997)",Courage Under Fire (1996),Jackie Chan's First Strike (1996),Dante's Peak (1997)
Office Killer (1997),1,1,-,-,-,-
"Old Lady Who Walked in the Sea, The (Vieille qui marchait dans la mer, La) (1991)",2.6,5,Emma (1996),Mrs. Doubtfire (1993),Casablanca (1942),Patton (1970)
"Old Man and the Sea, The (1958)",3.34375,32,Kiss the Girls (1997),Seven Years in Tibet (1997),Boogie Nights (1997),Rosewood (1997)
Old Yeller (1957),3.484375,64,George of the Jungle (1997),Dead Man Walking (1995),Donnie Brasco (1997),On Golden Pond (1981)
Oliver & Company (1988),2.772727273,22,My Left Foot (1989),Beautiful Girls (1996),Murder at 1600 (1997),Down Periscope (1996)
"Omen, The (1976)",3.388235294,85,"Long Kiss Goodnight, The (1996)",Seven (Se7en) (1995),Rumble in the Bronx (1995),"Lost World: Jurassic Park, The (1997)"
On Golden Pond (1981),3.556603774,106,Wag the Dog (1997),Cold Comfort Farm (1995),Ghost (1990),To Kill a Mockingbird (1962)
Once Upon a Time in America (1984),3.4,50,Scream 2 (1997),"Cable Guy, The (1996)",True Romance (1993),"Close Shave, A (1995)"
Once Upon a Time in the West (1969),3.868421053,38,"Ice Storm, The (1997)","Close Shave, A (1995)","Hunchback of Notre Dame, The (1996)",Jungle2Jungle (1997)
Once Upon a Time... When We Were Colored (1995),3.285714286,28,Star Trek: Generations (1994),Pink Floyd - The Wall (1982),Being There (1979),Mimic (1997)
Once Were Warriors (1994),4.064516129,31,My Best Friend's Wedding (1997),Conan the Barbarian (1981),Tombstone (1993),Scream 2 (1997)
One Fine Day (1996),3.232142857,112,True Lies (1994),Volcano (1997),Primal Fear (1996),"Manchurian Candidate, The (1962)"
One Flew Over the Cuckoo's Nest (1975),4.291666667,264,Kingpin (1996),Arsenic and Old Lace (1944),Scream 2 (1997),Gandhi (1982)
One Night Stand (1997),3.466666667,15,Brazil (1985),Willy Wonka and the Chocolate Factory (1971),Vertigo (1958),Tin Cup (1996)
Only You (1994),3.153846154,39,Mimic (1997),"Manchurian Candidate, The (1962)",Volcano (1997),Cool Hand Luke (1967)
Open Season (1996),2.5,2,Mighty Aphrodite (1995),Jackie Chan's First Strike (1996),Beavis and Butt-head Do America (1996),Kolya (1996)
Operation Dumbo Drop (1995),2.516129032,31,Good Will Hunting (1997),Ulee's Gold (1997),Bonnie and Clyde (1967),"Killing Fields, The (1984)"
Original Gangstas (1996),2.142857143,7,Stand by Me (1986),Butch Cassidy and the Sundance Kid (1969),"Game, The (1997)","River Wild, The (1994)"
Orlando (1993),3.617647059,34,Amistad (1997),Primal Fear (1996),Secrets & Lies (1996),Murder at 1600 (1997)
Oscar & Lucinda (1997),3.19047619,21,Sleepers (1996),Searching for Bobby Fischer (1993),"Piano, The (1993)",101 Dalmatians (1996)
Othello (1995),3.611111111,72,Alien: Resurrection (1997),Kolya (1996),Crash (1996),"Sex, Lies, and Videotape (1989)"
"Other Voices, Other Rooms (1997)",3,1,-,-,-,-
Out to Sea (1997),2.684210526,19,"Maltese Falcon, The (1941)",Miracle on 34th Street (1994),"Room with a View, A (1986)",Glory (1989)
Outbreak (1995),3.240384615,104,Seven Years in Tibet (1997),Alien: Resurrection (1997),Spawn (1997),Conspiracy Theory (1997)
"Outlaw, The (1943)",2.5,2,Full Metal Jacket (1987),"Magnificent Seven, The (1954)",Patton (1970),One Flew Over the Cuckoo's Nest (1975)
"Pagemaster, The (1994)",2.25,12,Tin Cup (1996),Primal Fear (1996),Kiss the Girls (1997),Dead Man Walking (1995)
"Pallbearer, The (1996)",2.318181818,22,Amistad (1997),Cold Comfort Farm (1995),Strictly Ballroom (1992),Singin' in the Rain (1952)
Palmetto (1998),3.142857143,14,Batman Returns (1992),Eraser (1996),Mars Attacks! (1996),George of the Jungle (1997)
Palookaville (1996),2.923076923,13,"Net, The (1995)",Kolya (1996),Apt Pupil (1998),Monty Python's Life of Brian (1979)
Panther (1995),2.4,5,Cool Hand Luke (1967),"Long Kiss Goodnight, The (1996)","Boot, Das (1981)",Phenomenon (1996)
"Paper, The (1994)",3.225,40,Wag the Dog (1997),Jungle2Jungle (1997),"Long Kiss Goodnight, The (1996)",Father of the Bride Part II (1995)
Paradise Lost: The Child Murders at Robin Hood Hills (1996),4.05,20,Father of the Bride Part II (1995),Event Horizon (1997),Willy Wonka and the Chocolate Factory (1971),Scream 2 (1997)
Paradise Road (1997),3.285714286,7,Multiplicity (1996),"Room with a View, A (1986)",Lost Highway (1997),Butch Cassidy and the Sundance Kid (1969)
"Parent Trap, The (1961)",3.095890411,73,Michael (1996),Good Will Hunting (1997),My Best Friend's Wedding (1997),Everyone Says I Love You (1996)
Paris Is Burning (1990),3.814814815,27,Seven Years in Tibet (1997),One Fine Day (1996),"Rainmaker, The (1997)",Ben-Hur (1959)
Paris Was a Woman (1995),3,1,-,-,-,-
"Paris, France (1993)",2.333333333,3,Cinema Paradiso (1988),"Room with a View, A (1986)",My Left Foot (1989),"Boot, Das (1981)"
"Paris, Texas (1984)",3.543478261,46,Amistad (1997),GoldenEye (1995),"Good, The Bad and The Ugly, The (1966)",Army of Darkness (1993)
Party Girl (1995),2.875,16,Sense and Sensibility (1995),Apt Pupil (1998),Good Will Hunting (1997),Amistad (1997)
Passion Fish (1992),3.178571429,28,Austin Powers: International Man of Mystery (1997),Happy Gilmore (1996),"Manchurian Candidate, The (1962)",Chinatown (1974)
Pather Panchali (1955),4.625,8,Leaving Las Vegas (1995),"Philadelphia Story, The (1940)",Sabrina (1995),Stargate (1994)
Paths of Glory (1957),4.212121212,33,Father of the Bride Part II (1995),Fly Away Home (1996),Spawn (1997),Basic Instinct (1992)
Patton (1970),3.992647059,136,Scream 2 (1997),Seven Years in Tibet (1997),Happy Gilmore (1996),101 Dalmatians (1996)
"Peacemaker, The (1997)",3.272058824,136,Bound (1996),Highlander (1986),"Devil's Own, The (1997)",Dante's Peak (1997)
Penny Serenade (1941),3,8,"Clockwork Orange, A (1971)","Room with a View, A (1986)","Shawshank Redemption, The (1994)","Manchurian Candidate, The (1962)"
"People vs. Larry Flynt, The (1996)",3.595348837,215,Alien: Resurrection (1997),Boogie Nights (1997),"Devil's Advocate, The (1997)",Scream 2 (1997)
"Perez Family, The (1995)",2.642857143,14,"Rainmaker, The (1997)",Crash (1996),G.I. Jane (1997),Jungle2Jungle (1997)
"Perfect Candidate, A (1996)",4,4,Mr. Smith Goes to Washington (1939),"Deer Hunter, The (1978)",Clear and Present Danger (1994),Chasing Amy (1997)
"Perfect World, A (1993)",3.68,50,Bound (1996),Amistad (1997),Cold Comfort Farm (1995),Fly Away Home (1996)
Persuasion (1995),4.045454545,44,"Crow, The (1994)",Tombstone (1993),Grumpier Old Men (1995),Real Genius (1985)
"Pest, The (1997)",1.875,8,Titanic (1997),While You Were Sleeping (1995),Scream 2 (1997),Maverick (1994)
Pete's Dragon (1977),2.720930233,43,Everyone Says I Love You (1996),Ulee's Gold (1997),Cinema Paradiso (1988),Michael (1996)
"Phantom, The (1996)",2.575,80,"Devil's Own, The (1997)",Secrets & Lies (1996),Ulee's Gold (1997),Dante's Peak (1997)
Phantoms (1998),2.230769231,13,Welcome to the Dollhouse (1995),Highlander (1986),Ace Ventura: Pet Detective (1994),True Lies (1994)
Pharaoh's Army (1995),1,1,-,-,-,-
Phat Beach (1996),1.6,5,Mother (1996),"Ghost and the Darkness, The (1996)",Chasing Amy (1997),"Devil's Advocate, The (1997)"
Phenomenon (1996),3.557377049,244,"Philadelphia Story, The (1940)",Die Hard: With a Vengeance (1995),"Rainmaker, The (1997)","Time to Kill, A (1996)"
Philadelphia (1993),3.854014599,137,Seven Years in Tibet (1997),William Shakespeare's Romeo and Juliet (1996),"Birdcage, The (1996)",Primal Fear (1996)
"Philadelphia Story, The (1940)",4.115384615,104,"Edge, The (1997)",Lost Highway (1997),Phenomenon (1996),Con Air (1997)
"Piano, The (1993)",3.601190476,168,101 Dalmatians (1996),"Edge, The (1997)",On Golden Pond (1981),Jackie Brown (1997)
Picnic (1955),3.611111111,18,Rosewood (1997),GoldenEye (1995),Under Siege (1992),Real Genius (1985)
Picture Bride (1995),3.1,10,Stargate (1994),"Frighteners, The (1996)",Absolute Power (1997),Star Trek: The Motion Picture (1979)
Picture Perfect (1997),2.962962963,81,"Killing Fields, The (1984)",Bram Stoker's Dracula (1992),"Adventures of Priscilla, Queen of the Desert, The (1994)","Deer Hunter, The (1978)"
Pie in the Sky (1995),2,4,Welcome to the Dollhouse (1995),Big Night (1996),Beautiful Girls (1996),Broken Arrow (1996)
"Pillow Book, The (1995)",3.692307692,26,Patton (1970),Bonnie and Clyde (1967),Star Trek VI: The Undiscovered Country (1991),"Nutty Professor, The (1996)"
Pink Floyd - The Wall (1982),3.350877193,114,Dead Man Walking (1995),Amistad (1997),Cop Land (1997),Secrets & Lies (1996)
Pinocchio (1940),3.673267327,101,Rosewood (1997),Mimic (1997),L.A. Confidential (1997),Dumbo (1941)
Platoon (1986),3.692913386,127,"Rainmaker, The (1997)",Mother (1996),Kolya (1996),G.I. Jane (1997)
Playing God (1997),2.627906977,43,Home Alone (1990),"Great Escape, The (1963)",Miracle on 34th Street (1994),"Philadelphia Story, The (1940)"
Pocahontas (1995),2.529411765,51,Jungle2Jungle (1997),As Good As It Gets (1997),"Hunchback of Notre Dame, The (1996)","Firm, The (1993)"
Poetic Justice (1993),2.777777778,9,Cop Land (1997),Kolya (1996),Seven Years in Tibet (1997),Alien: Resurrection (1997)
Poison Ivy II (1995),2.153846154,13,Event Horizon (1997),Grosse Pointe Blank (1997),"Devil's Advocate, The (1997)",Much Ado About Nothing (1993)
Police Story 4: Project S (Chao ji ji hua) (1993),1,1,-,-,-,-
Pollyanna (1960),3.148148148,27,"Edge, The (1997)",Kolya (1996),Alien: Resurrection (1997),Scream 2 (1997)
"Pompatus of Love, The (1996)",3,7,"Peacemaker, The (1997)",Courage Under Fire (1996),"Usual Suspects, The (1995)",Rosewood (1997)
Ponette (1996),3.3,10,Fantasia (1940),William Shakespeare's Romeo and Juliet (1996),"Sex, Lies, and Videotape (1989)",Being There (1979)
"Portrait of a Lady, The (1996)",2.68,25,Seven Years in Tibet (1997),Tombstone (1993),On Golden Pond (1981),True Lies (1994)
"Postino, Il (1994)",3.967213115,183,Kolya (1996),Grease (1978),In the Name of the Father (1993),What's Eating Gilbert Grape (1993)
"Postman, The (1997)",3.224137931,58,"Wrong Trousers, The (1993)",Grease (1978),Primal Fear (1996),"Nightmare Before Christmas, The (1993)"
Powder (1995),3.208333333,48,"Ice Storm, The (1997)","Edge, The (1997)",Everyone Says I Love You (1996),Bound (1996)
Power 98 (1995),1,1,-,-,-,-
"Preacher's Wife, The (1996)",2.926470588,68,"Killing Fields, The (1984)",Being There (1979),Scream 2 (1997),Some Like It Hot (1959)
Prefontaine (1997),5,3,-,-,-,-
Pretty Woman (1990),3.323170732,164,"Lost World: Jurassic Park, The (1997)",My Best Friend's Wedding (1997),Top Gun (1986),"Ghost and the Darkness, The (1996)"
"Price Above Rubies, A (1998)",3.333333333,3,Gattaca (1997),Boogie Nights (1997),Contact (1997),Starship Troopers (1997)
Priest (1994),4,40,Scream 2 (1997),Lost Highway (1997),"Good, The Bad and The Ugly, The (1966)",Conan the Barbarian (1981)
Primal Fear (1996),3.601123596,178,One Fine Day (1996),Pretty Woman (1990),"River Wild, The (1994)",Austin Powers: International Man of Mystery (1997)
Primary Colors (1998),3.923076923,13,Star Trek VI: The Undiscovered Country (1991),Father of the Bride Part II (1995),Donnie Brasco (1997),"Maltese Falcon, The (1941)"
"Princess Bride, The (1987)",4.172839506,324,Army of Darkness (1993),Philadelphia (1993),Highlander (1986),Much Ado About Nothing (1993)
Princess Caraboo (1994),3.133333333,15,Harold and Maude (1971),"Peacemaker, The (1997)",My Left Foot (1989),Donnie Brasco (1997)
Prisoner of the Mountains (Kavkazsky Plennik) (1996),3,5,When Harry Met Sally... (1989),Pretty Woman (1990),Amistad (1997),Annie Hall (1977)
Private Benjamin (1980),2.955223881,67,L.A. Confidential (1997),Some Like It Hot (1959),My Best Friend's Wedding (1997),Evita (1996)
Private Parts (1997),3.53,100,Ulee's Gold (1997),Ben-Hur (1959),Alien (1979),Rear Window (1954)
"Professional, The (1994)",3.704697987,149,"Bridge on the River Kwai, The (1957)",Alien: Resurrection (1997),Kingpin (1996),"Devil's Advocate, The (1997)"
"Program, The (1993)",2.838709677,31,"Philadelphia Story, The (1940)",Scream 2 (1997),Sense and Sensibility (1995),"Room with a View, A (1986)"
"Promesse, La (1996)",3.333333333,6,"Devil's Own, The (1997)",Tomorrow Never Dies (1997),Starship Troopers (1997),Austin Powers: International Man of Mystery (1997)
"Promise, The (Versprechen, Das) (1994)",1,1,-,-,-,-
"Prophecy II, The (1998)",2.7,20,"Wrong Trousers, The (1993)",Shine (1996),"Adventures of Priscilla, Queen of the Desert, The (1994)",101 Dalmatians (1996)
"Prophecy, The (1995)",2.9375,32,Happy Gilmore (1996),Shine (1996),Courage Under Fire (1996),Grumpier Old Men (1995)
Psycho (1960),4.10041841,239,Kingpin (1996),Ed Wood (1994),Taxi Driver (1976),Mother (1996)
Pulp Fiction (1994),4.060913706,394,"Cable Guy, The (1996)",Trainspotting (1996),True Romance (1993),"People vs. Larry Flynt, The (1996)"
Pump Up the Volume (1990),3.417721519,79,Mother (1996),"Craft, The (1996)",Murder at 1600 (1997),Gattaca (1997)
Purple Noon (1960),3.142857143,7,Volcano (1997),Gandhi (1982),Titanic (1997),My Fair Lady (1964)
Pushing Hands (1992),2,2,Ben-Hur (1959),GoodFellas (1990),"Room with a View, A (1986)",Clueless (1995)
"Pyromaniac's Love Story, A (1995)",2.428571429,7,Ulee's Gold (1997),Hoop Dreams (1994),Gattaca (1997),"Frighteners, The (1996)"
Quartier Mozart (1992),1,1,-,-,-,-
"Queen Margot (Reine Margot, La) (1994)",3.5,24,Conan the Barbarian (1981),"Peacemaker, The (1997)","Great Escape, The (1963)","Adventures of Priscilla, Queen of the Desert, The (1994)"
"Quest, The (1996)",2.518518519,27,Little Women (1994),"Great Escape, The (1963)",Crash (1996),"Room with a View, A (1986)"
"Quick and the Dead, The (1995)",3.208333333,48,Everyone Says I Love You (1996),Fly Away Home (1996),Hoop Dreams (1994),Amistad (1997)
"Quiet Man, The (1952)",4.029850746,67,Austin Powers: International Man of Mystery (1997),True Romance (1993),Cop Land (1997),Spawn (1997)
"Quiet Room, The (1996)",3.666666667,3,Evita (1996),Chasing Amy (1997),"Usual Suspects, The (1995)",Hoop Dreams (1994)
